x,y,z
0.630357,8.225373,-3.695728
0.629554,8.220058,-3.723227
0.584160,8.362238,-3.759259
0.545441,8.472270,-3.824674
0.637882,8.190258,-3.661220
0.732823,7.899736,-3.533803
0.661274,8.110063,-3.611223
0.751074,7.828137,-3.464291
0.715269,7.917383,-3.538869
0.750604,7.829426,-3.489978
0.750633,7.812489,-3.495797
0.829439,7.630952,-3.333642
0.786509,7.743609,-3.401617
0.630409,8.091184,-3.686596
0.732333,7.852090,-3.536266
0.726179,7.832112,-3.577626
0.669454,7.937561,-3.694060
0.638964,7.988352,-3.756252
0.646200,7.971977,-3.724502
0.624682,7.960928,-3.772603
0.656479,7.930414,-3.725200
0.601485,8.016719,-3.818875
0.592721,8.066243,-3.845307
