scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,prediction_error,z_redistributed,vx,vy,vz,vyaw,pose_uncertainty,velocity_uncertainty,innovation_x,innovation_y,innovation_z,innovation_yaw,innovation_magnitude
77,cloud000385.pcd,4.311759626730809,0.03675958203151348,0.0,0.27137597729140345,15.548698160035487,0.5266267596106483,3.350601942216464,True,0.0,0.0,0.0,0.0,9.456358874614397e-05,40.0,2.5696467794673694,0.613411890216925,0.0,2.060867452530176,3.350601942216464
78,cloud000390.pcd,4.342753778897917,0.04434266944802679,0.0,0.29807058162658634,17.0781863242131,0.5116229158141005,3.4241254856889864,True,0.0,0.0,0.0,0.0,9.341466683062812e-05,40.0,2.5510160634258563,0.6241363759714929,0.0,2.197135901594905,3.4241254856889864
79,cloud000395.pcd,4.371813978156024,0.05162726395462714,0.0,0.32481959680906974,18.61079200030076,0.5201291744740361,3.4962717024356635,True,0.0,0.0,0.0,0.0,9.234157585282804e-05,40.0,2.5297471422913516,0.6341381892170808,0.0,2.32855405140134,3.4962717024356635
80,cloud000400.pcd,4.398963872083809,0.058892824285047926,0.0,0.3523168408281547,20.18626803083567,0.525995113131441,3.532484429518484,True,0.0,0.0,0.0,0.0,9.131374353881533e-05,40.0,2.4391760775456834,0.6527458632090901,0.0,2.47038238853478,3.532484429518484
81,cloud000405.pcd,4.423680627198704,0.06575680858604957,0.0,0.3790397143332573,21.71737589914002,0.5265927044592826,3.608301247125746,True,0.0,0.0,0.0,0.0,9.03763256393137e-05,40.0,2.4076555836364335,0.6686197298746829,0.0,2.6030712893456887,3.608301247125746
82,cloud000410.pcd,4.446714853104638,0.07256240574089742,0.0,0.4058922090521464,23.255910515929695,0.5214888678224927,3.66336893083852,True,0.0,0.0,0.0,0.0,8.948752839079227e-05,40.0,2.342208762295126,0.6920193174205512,0.0,2.7304650339415977,3.66336893083852
83,cloud000415.pcd,4.471263747715347,0.07876397690120605,0.0,0.43432554123941064,24.885020447753416,0.5333320372030862,3.619029587461409,True,0.0,0.0,0.0,0.0,8.854609674833336e-05,40.0,2.333488494032668,0.5894886583281135,0.0,2.70272265037328,3.619029587461409
84,cloud000420.pcd,4.495912230023219,0.08539696988261518,0.0,0.4644744535353041,26.612425879218183,0.5395007807155836,3.7076995137043607,True,0.0,0.0,0.0,0.0,8.760269441972221e-05,40.0,2.313463551087784,0.62256115023401,0.0,2.8297243144750266,3.7076995137043607
85,cloud000425.pcd,4.51973660182252,0.09183853250423246,0.0,0.4958320547153474,28.409084082489116,0.5294173465746186,3.7673466243154525,True,0.0,0.0,0.0,0.0,8.667478177686046e-05,40.0,2.249219450276998,0.6081372495682841,0.0,2.960419149026738,3.7673466243154525
86,cloud000430.pcd,4.5380353447828785,0.09701098242237849,0.0,0.521343268636668,29.870768970436178,0.5141497773556649,3.853660542454674,True,0.0,0.0,0.0,0.0,8.59591333574668e-05,40.0,2.2162272862086345,0.6264542143674036,0.0,3.089755865701639,3.853660542454674
87,cloud000435.pcd,4.561334370888887,0.10385212274562458,0.0,0.4891323907309462,28.025221612027128,0.5282805692267467,3.835350992585429,True,0.0,0.0,0.0,0.0,8.505505603269378e-05,40.0,2.2152575218473665,0.650451546349228,0.0,-3.0625910817601163,3.835350992585429
88,cloud000440.pcd,4.583603336893684,0.11037309428750883,0.0,0.45939397291671563,26.32133578187505,0.533927555631078,3.684659996839556,True,0.0,0.0,0.0,0.0,8.418434275960678e-05,40.0,2.1753293669012725,0.6369968364374323,0.0,-2.904977877398603,3.684659996839556
89,cloud000445.pcd,4.610064621125133,0.11772667829239371,0.0,0.4241738116862259,24.303369189597703,0.5342418894899637,3.6166161966317647,True,0.0,0.0,0.0,0.0,8.314473035070412e-05,40.0,2.1427464741456506,0.5954686877998878,0.0,-2.852011098001807,3.6166161966317647
90,cloud000450.pcd,4.628924294192213,0.12232261759357178,0.0,0.3976671377176518,22.78464864226912,0.5217404365343072,3.491655537707982,True,0.0,0.0,0.0,0.0,8.236238717605334e-05,40.0,2.0043409131770993,0.48844055477872106,0.0,-2.817037756619294,3.491655537707982
91,cloud000455.pcd,4.650397182384865,0.12631796043020327,0.0,0.3657649499150715,20.956787923947537,0.5255019074395068,3.4057883145882486,True,0.0,0.0,0.0,0.0,8.14274069540358e-05,40.0,1.8915462499222215,0.35194966284833834,0.0,-2.8102630238132487,3.4057883145882486
92,cloud000460.pcd,4.668972239219619,0.12902067205235923,0.0,0.3364326672499066,19.27617192374884,0.5267833356186061,3.3036811598243787,True,0.0,0.0,0.0,0.0,8.056907993614128e-05,40.0,1.7621706900708833,0.25639971100202336,0.0,-2.782682671996888,3.3036811598243787
93,cloud000465.pcd,4.68613022535229,0.13047675376653192,0.0,0.3071393999970914,17.597791342013746,0.5344877838057196,3.2062284946842348,True,0.0,0.0,0.0,0.0,7.971520945453865e-05,40.0,1.6189845969310221,0.1373922235914295,0.0,-2.7640393289390497,3.2062284946842348
94,cloud000470.pcd,4.700961756058317,0.13073989928930962,0.0,0.2799754131876364,16.04140954308294,0.5385731025996793,3.152295103086469,True,0.0,0.0,0.0,0.0,7.893253665039994e-05,40.0,1.5105911072233473,0.02680136625764018,0.0,-2.7666515159100538,3.152295103086469
95,cloud000475.pcd,4.7163200618546055,0.1304586108652537,0.0,0.24986150850024438,14.316009899836146,0.5317059317308992,3.1198826594401803,True,0.0,0.0,0.0,0.0,7.807726581341035e-05,40.0,1.4174107005337895,-0.025959974197773225,0.0,-2.779197868887261,3.1198826594401803
